GF Application Submitted to DoITT (A),CBL Link ID,Latitude,Longitude,Borough,Zoning,Council District,Community Board,Street Address,Cross_Street 1,Cross_Street 2,Corner_location,Postcode,BID,Site in Business Improvement District (BID)?,Link In Historic District,NTA,GF Permit_Appl_Id,GF DoITT Submitted to CB (A),GF CB Comment Period Ends (A),DoITT NTP Issued (A),BIN,BBL,Census Tract,Location 1
08/16/2017,LINK-021159,40.66883,-73.99308,Brooklyn,M1-2,39,306,531-533 3rd Ave,13th St,14th St.,SE,11215,,No,N,Park Slope-Gowanus,82184,12/05/2017,02/03/2018,,,3010330006,3011700,"(40.66883491, -73.99307618)"
09/07/2017,LINK-021169,40.70114,-73.93939,Brooklyn,C4-3,34,304,1 BEAVER STREET,FAYETTE STREET,FLUSHING AVENUE,SW,11206,,No,N,Bushwick South,82307,11/16/2017,01/15/2018,,3000000,3031310027,3038900,"(40.70113761, -73.93938911)"
08/30/2017,LINK-021171,40.63892,-73.96903,Brooklyn,C8-2,40,312,922 CORTELYOU ROAD,EAST 9 STREET,CONEY ISLAND AVENUE,SW,11218,,No,N,Kensington-Ocean Parkway,82264,10/13/2017,12/12/2017,,3126899,3053930007,3049200,"(40.63892264037609, -73.96903111788515)"
09/25/2017,LINK-021179,40.69220,-73.98763,Brooklyn,C6-4.5,33,302,34 WILLOUGHBY STREET,JAY STREET,PEARL STREET,SW,11201,Fulton Mall,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82329,12/14/2017,02/12/2018,,,3001500019,3001100,"(40.69219583, -73.98762662)"
09/25/2017,LINK-021180,40.69490,-73.98699,Brooklyn,C6-4,33,302,80 Tech Place,Jay Street,Lawrence Street,SE,11201,MetroTech,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82328,12/14/2017,02/12/2018,,,3001420050,3001100,"(40.69490376, -73.98698984)"
09/25/2017,LINK-021182,40.68984,-73.98025,Brooklyn,C6-4,35,302,80 Dekalb Ave,Hudson Ave,Rockwell Pl,SE,11201,MetroTech,Yes,N,Fort Greene,82325,12/14/2017,02/12/2018,,,3020940010,3003300,"(40.68983595912389, -73.98024957041605)"
09/15/2017,LINK-021184,40.68105,-73.96753,Brooklyn,M1-1,35,308,547 VANDERBILT AVENUE,PACIFIC STREET,ATLANTIC AVENUE,NE,11238,,No,N,Prospect Heights,82322,12/01/2017,01/30/2018,,,3011220071,3020300,"(40.68105309461695, -73.96752807629514)"
08/25/2017,LINK-021190,40.63391,-73.94897,Brooklyn,C2-4,45,314,1510 FLATBUSH AVENUE,EAST 29 STREET,HILLEL PLACE,SW,11210,Flatbush-Nostrand Junction,Yes,N,Flatbush,82243,10/13/2017,12/12/2017,,3205864,3075570047,3077400,"(40.6339091, -73.94897192)"
09/07/2017,LINK-021191,40.70328,-73.93260,Brooklyn,M1-2,34,301,997 FLUSHING AVENUE,BOGART STREET,FORREST STREET,NE,11206,,No,N,Bushwick North,82309,11/16/2017,01/15/2018,,3071648,3031250007,3045300,"(40.70328489, -73.93260275)"
10/02/2017,LINK-021197,40.69439,-73.99298,Brooklyn,C1-3,33,302,158 Montague St,Clinton St,Henry St,SW,11201,Montague Street,Yes,Y,Brooklyn Heights-Cobble Hill,82340,12/14/2017,02/12/2018,,,3002490039,3000502,"(40.694386100291844, -73.99297520682035)"
10/02/2017,LINK-021198,40.69456,-73.99364,Brooklyn,C1-3,33,302,142 Montague St,Henry St,Clinton St.,MIDBLOCK,11201,Montague Street,Yes,Y,Brooklyn Heights-Cobble Hill,82347,12/14/2017,02/12/2018,,,3002490030,3000502,"(40.69455988225752, -73.99364151453688)"
