CB Link ID,Link Site ID,Street Address,Cross Street 1,Cross Street 2,Corner_location,Borough,Zip Code,Community Board,Council District,Site in BID,BID,Zoning,Neighborhood Tabulation Area (NTA),Census Tract (CT),Building Identification Number (BIN),Borough-Block-Lot (BBL),Latitude,Longitude,DoITT NTP Issued (A),DoITT NTP Expiration Date,In Progress/Suspended,Project Status,Location 1
LINK-000008,bk-04-103731,849 BROADWAY,PARK AVENUE,LOCUST STREET,MIDBLOCK,Brooklyn,11206,304,34,No,,C8-2,Bushwick South,3038900,3071735,3031340004,40.698876,-73.938447,01/11/2018 12:00:00 AM,07/11/2018 12:00:00 AM,Installed,Link Installed; Connecting Power and Fiber,"(40.69887623, -73.93844701)"
LINK-012150,bk-04-142063,457 KNICKERBOCKER AVENUE,GREENE AVENUE,MYRTLE AVENUE,NE,Brooklyn,11237,304,37,No,,C4-3,Bushwick North,3043100,3075418,3033000008,40.698939,-73.918458,01/08/2018 12:00:00 AM,07/08/2018 12:00:00 AM,Temporarily Suspended,Ready to Submit to DOT,"(40.69893944, -73.91845847)"
LINK-000010,bk-03-108944,897 PARK AVENUE,PARK AVENUE,ELLERY STREET,SW,Brooklyn,11206,303,36,No,,C4-4L,Bushwick South,3028501,3251257,3015790034,40.698956,-73.938932,01/11/2018 12:00:00 AM,07/11/2018 12:00:00 AM,Installed,Link Installed; Connecting Power and Fiber,"(40.69895576, -73.93893235)"
LINK-014637,bk-04-141069,435 KNICKERBOCKER AVENUE,HARMAN STREET,GREENE AVENUE,NE,Brooklyn,11237,304,37,No,,C4-3,Bushwick North,3043100,3075095,3032890005,40.699350,-73.919180,01/17/2018 12:00:00 AM,07/17/2018 12:00:00 AM,Temporarily Suspended,Ready to Submit to DOT,"(40.69935028, -73.91918018)"
LINK-011517,qu-05-126942,54-54 MYRTLE AVENUE,ST NICHOLAS AVENUE,WOODBINE STREET,NW,Queens,11385,405,34,Yes,Myrtle Avenue Queens,C4-3,Ridgewood,4055300,4312143,4035440027,40.699794,-73.908593,02/22/2018 12:00:00 AM,08/22/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.69979431, -73.90859344)"
LINK-001118,qu-08-124468,138-01 QUEENS BLVD,84 DRIVE,86 AVE,SEC,Queens,11435,408,24,No,,C1-4,Briarwood-Jamaica Hills,4021400,4206515,4096490044,40.708859,-73.818405,03/06/2018 12:00:00 AM,09/06/2018 12:00:00 AM,Temporarily Suspended,Ready to Submit to DOT,"(40.708859, -73.818405)"
LINK-011278,qu-05-126941,55-48 MYRTLE AVENUE,PUTNAM AVENUE,CYPRESS AVENUE,MIDBLOCK,Queens,11385,405,34,Yes,Myrtle Avenue Queens,C4-3A,Ridgewood,4055300,4085458,4035460055,40.700007,-73.906784,02/22/2018 12:00:00 AM,08/22/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70000713, -73.9067844)"
LINK-013263,qu-05-136986,17-17 HANCOCK STREET,HANCOCK STREET,CORNELIA STREET,NE,Queens,11385,405,34,Yes,Myrtle Avenue Queens,C4-3A,Ridgewood,4055300,4085882,4035600045,40.700288,-73.903881,02/22/2018 12:00:00 AM,08/22/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70028801, -73.90388098)"
LINK-013059,bk-04-126800,380 KNICKERBOCKER AVENUE,STANHOPE STREET,STOCKHOLM STREET,SW,Brooklyn,11221,304,37,No,,C4-3,Bushwick North,3043100,3074152,3032570033,40.700300,-73.921085,01/08/2018 12:00:00 AM,07/08/2018 12:00:00 AM,Temporarily Suspended,Ready to Submit to DOT,"(40.70029980298882, -73.92108501074858)"
LINK-014472,qu-05-126938,58-25 MYRTLE AVENUE,FOREST AVENUE,ONDERDONK AVENUE,NW,Queens,11385,405,34,Yes,Myrtle Avenue Queens,C4-3A,Ridgewood,4055100,4437728,4034760013,40.700553,-73.900435,03/28/2018 12:00:00 AM,09/28/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70055316, -73.90043504)"
